longitude,latitude,Place
13.7803627,8.7712794, North
78.6677428,22.3511148, India
85.43884569,23.9675151, Hazaribagh
91.2999102,25.5379432, Meghalaya
78.08534856,32.370901, Spiti
77.37572452,28.6628814, Vasundhara
77.3105561,28.4031478, Faridabad
79.41548094,29.29478295, Nainital
77.4894654,31.9986508, Kheerganga
77.1709729,31.1041526, Shimla
74.0114543,15.5626483, Sankhali
72.878176,19.0785451, Mumbai
85.1235252,25.6093239, Patna
85.906508,25.6440845, Bihar
103.9449845,1.32344785, Eco
-105.7561639,39.1089299, Park
88.3638953,22.5726459, Kolkata
77.2219388,28.6517178, Delhi
78.0098161,27.1752554, Agra
75.8189817,26.9154576, Jaipur
88.4338904,22.6671632, Nilachal
-97.0881654,31.9595085, Hill
91.753943,26.1805978, Guwahati
91.70535304,26.1666801, Kamakhya
-97.3427847,31.098207, Temple
-0.075695424,46.2021241, Chail
4.3487044,50.8477735, Palace
77.08200509,30.92589585, Solan
85.3250387,23.3700501, Ranchi
77.6938045,27.5753726, Vrindavan
94.5884911,26.1630556, Nagaland
77.76822875,29.00065255, Maratha
76.25,32.166667, Kangra
73.7684549,26.8105777, Rajasthan
72.8308998,19.05842505, Chardham
-3.8085408,40.4380572, Yatra
78.9398699,30.9943684, Gangotri
81.6628742,19.5885769, Kondagaon
78.1140983,9.9261153, Madurai
78.4740613,17.360589, Hyderabad
73.7388707,15.5975195, Vagator
-104.0043728,46.9180689, Beach
93.9364419,24.7991162, Imphal
93.9229386,24.7208818, Manipur
6.7033325,51.4286611, Femina
-89.7348497,32.9715285, Miss
76.23086566,32.518429, Chamba
76.5120396,10.3528744, Kerala
-3.2058774,55.9459957, Beautiful
-91.5348875,41.5541855, Hills
77.0731537,10.2243433, Eravikulam
-80.0383863,39.5863598, National
74.0855134,15.3004543, Goa
-80.0297464,40.3228666, Munroe
-18.1059013,64.9841821, Island
-122.7776556,39.0505411, Lake
-76.9238532,43.2264547, Resort
76.76326541,34.68003015, Kashmir
93.2551303,26.4073841, Assam
94.9114557,27.0631912, Borpukhuri
77.34932052,31.81676015, Himachal
80.859666,27.1303344, Pradesh
172.507278,-42.414, Rokeby
-97.555905,30.3420882, Manor
89.2343748,51.2086975, Asia
92.112894,25.4115511, Umngot
1.274811068,51.1410065, River
92.0215717,25.1856343, Dawki
81.75,25.75, Pratapgarh
79.84482,6.9343455, Fort
75.6741579,18.9068356, Maharashtra
83.0076292,25.3356491, Varanasi
93.3961114,26.6010242, Kaziranga
76.9628425,11.0018115, Coimbatore
-100.445882,39.7837304, US
73.6862571,24.578721, Udaipur
-79.47351,43.6656329, Leela
-84.8105037,38.4278468, New
73.4669499,16.06064, Malvan
77.6128533,13.8019039, Jatayu
-102.4107493,34.2331373, Earth
1.1443182,51.087821, Himalayan
122.524724,11.4432962, Mountains
24.24203487,56.99596425, Starts
88.45413639,27.601029, Sikkim
73.96235328,15.28976205, Jawaharlal
-7.204735102,53.346792, Road
80.3964043,28.6432554, Baisakhi
47.5255809,-18.9100122, Tana
127.71006,35.16397, Agyang
-99.8860216,32.3434532, View
-95.8713542,32.9315089, Point
-1.914662598,11.675305, Ziro
32.6060423,0.3132141, Lower
94.31944632,27.21097645, Subansiri
73.3438185,18.787747, Khopoli
73.13807095,18.4928092, Raigad
94.6629437,28.6750796, Yomgo
6.7765424,46.1916251, Festival
88.5165449,28.2766151, Kamba
78.2916193,30.1086537, Rishikesh
72.9701779,19.1943294, Thane
-107.085,31.8127778, Mount
134.7674637,35.4044647, Abu
84.01821107,24.9001003, Sasaram
-0.103598925,51.5276441, City
40.2694068,40.947642, of
77.51160822,10.27327535, Kodaikanal
77.60912867,9.5601364, Srivilliputhur
-8.6372772,40.4612298, Andal
96.1644358,16.7741043, Great
82.0235715,19.0870758, Jagdalpur
127.6961188,36.638392, South
147.1257091,-7.8800271, Guru
-15.9460511,14.1682485, Kirpa
20.0272711,49.6194753, Know
94.6394226,26.9834936, Sivasagar
-121.8938787,37.336192, District
91.8825282,25.5760446, Shillong
77.18812183,32.26309405, Manali
76.3196717,32.2143039, Dharamshala
78.1573628,26.2037247, Gwalior
84.461351,18.8484265, Madhya
76.5,27.5, Alwar
14.178373,3.9894393, East
123.0087698,8.4257865, Tamil
78.0700306,27.274378, Nadu
34.5731341,0.5090396, West
81.6172835,28.5970805, Khasi
-9.125862142,38.71227885, Maquinez
73.8282141,15.4989946, Panjim
35.12449292,0.22539325, 📷Nandi
75.7223521,14.5203896, Karnataka
80.9346001,26.8381, Lucknow
83.3012842,17.7231276, Visakhapatnam
109.4246698,-7.0381723, Purana
71.681389,34.415556, Qila
-54.4590898,-29.5637643, Mata
77.3789964,32.00186325, Kullu
-73.6217069,44.2283017, Lush
-85.5346302,37.2433976, Green
88.69827695,27.3257569, Gangtok
84.41448983,24.786306, Aurangabad
92.2099596,25.9983681, Umiam
-85.9228997,39.4735045, Bengal
-91.7968415,38.6219868, Deer
91.7292416,25.2777336, Sohra
91.7292416,25.2777336, Cherrapunji
76.7839109,9.8040499, Ilaveezha
76.09110571,10.53413095, Poonchira
76.9797914,9.8497872, Idukki
76.64553257,9.6287383, Kottayam
76.2741457,9.98408, Ernakulam
76.41241429,9.5006651, Alappuzha
76.9737443,9.2780841, Pathanamthitta
76.76472369,9.79774225, Melukavu
-121.8938787,37.336192, district
76.76444289,9.88303525, Thodupuzha
88.4309916,26.7164127, Siliguri
-86.886673,39.0819899, Tulip
-102.3392806,41.6440533, Garden
85.84553114,20.380465, Nandankanan
-0.152816415,51.53676495, Zoological
85.8394521,20.2602964, Bhubaneswar
92.25,25.5, Jaintia
8.2319736,46.7985624, Switzerland
85.0079563,24.7964355, Gaya
-98.9805484,41.5595723, Valley
77.58227188,32.5038495, Lahaul
76.4034694,10.1338523, Chowara
76.947551,8.4882267, Thiruvananthapuram
92.8687612,23.2146169, Mizoram
79.0820556,21.1498134, Nagpur
14.39326466,50.10934595, International
25.3505677,64.93154595, Airport
-83.7229585,9.5570582, Hotel
92.2099596,25.9983681, 📷Umiam
12.88588808,42.41473635, Ri
76.2563825,32.1870449, Bhoi
81.38339469,18.8640648, Dantewada
55.18853865,25.07428235, Dubai
76.99796611,30.85844455, Kasauli
79.5678952,10.8206435, Tiruvarur
88.1483381,27.701126, Kanchenjunga
78.833333,10.5, Pudukkottai
76.78414567,30.72984395, Chandigarh
80.270186,13.0836939, Chennai
75.8558916,26.9888269, Amber
90.4384171,29.2405562, Brahmaputra
80.91800397,25.8435395, Fatehpur
77.0737325,27.5767311, Sikri
76.45597609,26.01856915, Ranthambore
90.5119273,27.549511, Bhutan
77.6568576,33.9456407, Ladakh
85.7105362,23.6320271, Rajrappa
85.53691565,23.59877595, Ramgarh
80.1936497,12.6195981, Mahabalipuram
-96.9262126,31.2320941, Falls
-8.1353519,39.6621648, Portugal
-8.553692,51.8550758, Waterfall
90.03410406,23.42531005, Reservoir
76.2802137,32.2802168, Kareri
75.8159703,15.9484334, Pattadakal
84.0917139,28.1083929, Nepal
100.8601022,14.6240563, Sri
80.7137847,7.5554942, Lanka
71.745261,22.3850051, Gujarat
83.2777696,27.4823171, Lumbini
78.402548,17.4592214, Vivekananda
-96.2574328,43.6733632, Rock
77.5499338,8.079252, Kanyakumari
84.49504715,26.4110701, Manjha
44.3764101,40.3299561, Karbi
93.5,26, Anglong
72.957028,25.2169493, Jawai
4.892514817,52.3732432, Dam
2.3483915,48.8534951, Pali
9.033333,12.433333, Kuttu
15.4651489,50.5348451, Jiva
82.2052321,26.7990707, Ayodhya
5.466415391,50.5459583, Memorial
93.8026804,25.5403215, Dzukou
80.1863809,15.9240905, Andhra
8.6420159,46.7864413, Uri
74.36221081,34.20500565, Baramulla
72.95933219,19.22572325, Nilgiri
76.7030504,11.4126769, Ooty
75.1483915,28.0558375, Mandawa
70.9191144,26.921761, Jaisalmer
73.0351433,26.2967719, Jodhpur
78.7505386,28.8650133, Maryada
83.16898894,19.9045137, Purushottam
76.0597217,32.5485701, Khajjiar
80.7993744,24.289214, Dolani
79.7043943,29.7712691, Jain
75.9611641,10.7065866, Ayirur
-122.2106864,47.703618, Kathakali
79.1151663,17.8495919, Telangana
73.01836742,26.2980001, Mehrangarh
81.57552603,28.94995605, Chamunda
73.0495828,33.2080996, Devi
88.69827695,27.3257569, GANGTOK
10.7190336,3.9986535, Dibang
78.82083629,33.706991, Pangong
77.48487446,34.82495245, Nubra
1.8191681,43.3448338, Mandore
12.3345898,45.4371908, Venice
79.8356831,10.9236687, Kailasanathar
100.83273,14.8971921, Tai
95.5729401,27.2889062, Khamyang
95.06426298,27.06971635, Charaideo
78.0782906,30.4569012, Mussoorie
93.2848263,23.6595998, Murlen
74.8736788,31.6343083, Amritsar
-0.12765,51.5073359, London
-80.75252763,28.2526915, Gatwick
87.20787306,25.30946375, Gopalpur
41.0025614,20.4955594, NSB
30.7433897,28.117915, Square
19.25705417,47.43863905, Tower
-83.6214408,31.7031592, Turner
73.02283,26.2863, Govind
73.9639227,32.6576632, Mandir
6.05426,46.2297064, Nataraja
79.1381497,10.7860267, Thanjavur
79.37173036,10.9645549, Kumbakonam
80.26122583,13.06264235, Taj
4.9833,44.5991, Manas
77.3464308,10.2240774, Mannavanur
73.9591629,15.2744076, Konkani
87.68485935,23.6802822, Chaiti
86.01164406,26.82102815, Chhath
82.98821332,28.23875675, Puja
76.7757161,21.1720349, Wari
26.904534,37.7034623, Chora
79.2843098,20.4147656, Tadoba
76.9149498,30.8042411, Pinjore
-102.3392806,41.6440533, garden
